"Id","y_2011-2015"
9003500100,232
9003500200,186
9003500300,270
9003500400,139
9003500500,307
9003500700,0
9003500900,159
9003501200,130
9003501300,67
9003501400,422
9003501500,483
9003501700,102
9003501800,214
9003502100,225
9003502300,647
9003502400,344
9003502500,154
9003502600,316
9003502700,363
9003502800,158
9003502900,250
9003503000,251
9003503100,551
9003503300,108
9003503500,72
9003503700,304
9003503800,59
9003503900,721
9003504000,559
9003504100,79
9003504200,602
9003504300,421
9003504500,287
9003504800,488
9003504900,410
9003524400,474
9003524501,350
9003524502,324
9003524600,301
9003524700,493
