"FIPS Code","Population median age 2011-2015"
9003500100,1439
9003500200,1003
9003500300,746
9003500400,796
9003500500,791
9003500700,819
9003500900,959
9003501200,926
9003501300,663
9003501400,1011
9003501500,1294
9003501700,582
9003501800,1026
9003502100,1324
9003502300,2484
9003502400,2776
9003502500,822
9003502600,1679
9003502700,1185
9003502800,1235
9003502900,1420
9003503000,1375
9003503100,1801
9003503300,1251
9003503500,577
9003503700,1106
9003503800,280
9003503900,1746
9003504000,1371
9003504100,886
9003504200,2067
9003504300,1009
9003504500,1685
9003504800,1538
9003504900,1691
9003524400,1083
9003524501,1335
9003524502,872
9003524600,1699
9003524700,1269
