"FIPS Code","Population under 18 years old 2011-2015"
9003500100,1312
9003500200,871
9003500300,512
9003500400,595
9003500500,200
9003500700,13
9003500900,794
9003501200,801
9003501300,567
9003501400,950
9003501500,1121
9003501700,525
9003501800,1038
9003502100,39
9003502300,1631
9003502400,1806
9003502500,593
9003502600,1172
9003502700,687
9003502800,828
9003502900,844
9003503000,1174
9003503100,593
9003503300,638
9003503500,605
9003503700,546
9003503800,230
9003503900,1303
9003504000,957
9003504100,433
9003504200,717
9003504300,710
9003504500,1189
9003504800,1080
9003504900,1196
9003524400,910
9003524501,324
9003524502,359
9003524600,564
9003524700,632
